"CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
678,"France","Male",40,10,0,2,1,0,184866.69,0
678,"Spain","Male",37,1,138476.41,1,1,0,106851.6,0
583,"Germany","Male",40,4,81274.33,1,1,1,170843.07,0
645,"Germany","Female",55,8,120105.43,1,1,0,125083.29,1
773,"Spain","Male",35,9,0,2,0,1,87549.36,0
746,"France","Male",33,7,0,2,1,1,178067.33,0
607,"France","Male",26,1,0,2,1,0,29818.2,0
686,"France","Female",45,4,0,1,1,0,155023.93,1
699,"France","Male",31,7,0,2,1,0,171922.92,0
668,"Germany","Male",38,4,131136.97,2,1,1,93713.83,0
682,"Germany","Female",34,5,126731.71,1,1,0,153870.58,1
620,"France","Male",46,8,177799.83,1,1,1,45414.09,0
640,"Spain","Male",50,1,0,2,0,1,13906.34,0
707,"Germany","Female",38,5,106920.91,1,0,1,52404.47,1
592,"Spain","Male",32,7,0,2,1,1,140941.47,0
682,"France","Female",46,10,0,2,0,0,109184.24,0
749,"France","Male",38,6,0,2,1,0,166468.28,0
706,"Spain","Male",30,5,0,2,1,1,80425.65,0
635,"France","Male",36,2,0,2,1,1,93835.64,0
644,"Spain","Male",43,9,89800.14,1,0,0,162699.8,0
587,"Germany","Female",32,8,125445.04,2,1,1,130514.78,0
715,"Spain","Female",46,2,0,1,1,0,116471.26,1
706,"France","Female",38,7,0,2,0,0,933.38,0
723,"France","Female",41,6,0,2,1,1,64375.4,0
788,"France","Male",31,10,0,2,1,0,116111.51,0
753,"France","Female",43,1,0,2,1,0,82867.55,0
517,"France","Male",44,3,80958.36,1,1,0,98178.57,0
740,"Spain","Female",33,4,0,2,1,1,85016.64,0
694,"Spain","Female",37,8,0,2,0,0,128918.42,0
696,"France","Male",37,2,0,2,1,1,114035.72,0
721,"Spain","Female",34,1,0,2,1,1,183492.9,0
578,"France","Male",38,9,0,2,1,0,61290.99,0
632,"France","Male",43,2,100013.51,2,1,0,24275.32,0
663,"Spain","Female",33,2,0,2,1,0,138547.22,0
718,"France","Male",42,8,0,1,1,0,126561.07,1
636,"Spain","Female",71,7,0,2,1,1,73585.18,1
583,"Germany","Male",35,9,129847.75,2,1,1,197325.4,0
703,"Germany","Female",50,3,98862.54,1,0,0,151516.7,1
596,"France","Female",40,7,0,2,1,0,91830.75,0
632,"France","Female",32,9,0,2,1,1,170819.01,0
707,"France","Female",31,5,0,2,0,0,172601.74,0
645,"Germany","Male",24,1,122532.35,1,1,0,170968.47,0
773,"France","Male",26,3,129118.5,1,1,0,64511.44,0
695,"France","Female",42,0,0,2,0,1,140724.64,0
646,"Germany","Female",64,8,160858.13,1,1,0,61936.22,1
754,"Germany","Female",29,7,139432.37,1,1,1,114072.91,0
714,"France","Male",40,4,0,2,1,1,122960.98,0
709,"France","Male",34,8,0,1,1,1,117828.96,0
679,"France","Male",40,10,0,2,1,1,91622.44,0
523,"Spain","Male",39,5,0,1,1,1,92455.96,0
754,"France","Female",28,8,0,2,1,0,194930.3,0
639,"France","Female",33,3,0,2,1,1,168816.33,0
579,"France","Male",29,4,118342.26,2,0,1,161574.19,0
730,"France","Male",38,6,0,2,1,1,178361.04,0
679,"Spain","Female",35,8,0,1,0,0,164453.98,1
642,"France","Male",37,1,160541.36,2,1,0,142223.94,0
727,"Spain","Male",33,10,127822.93,1,1,1,62703.5,0
699,"France","Male",37,10,88915.85,1,1,1,77965.44,0
525,"France","Female",35,0,0,2,0,0,131521.72,0
652,"Spain","Female",40,7,100471.34,1,0,1,107890.69,0
691,"France","Male",32,8,89047.61,2,1,1,58976.8,0
692,"Germany","Female",39,1,81710.46,2,1,1,75969.39,0
714,"France","Male",29,1,0,2,1,1,86479.49,0
679,"France","Female",47,2,114427.86,1,1,1,198266.57,0
569,"France","Male",37,9,178755.84,1,1,0,199929.17,0
613,"Germany","Male",40,5,97067.69,1,1,1,74760.32,0
822,"France","Male",36,8,121359.73,1,1,0,179964.5,0
639,"Spain","Male",43,1,103421.44,1,0,1,126734.84,0
543,"France","Female",37,7,0,1,1,1,56583.88,0
670,"Spain","Male",40,9,128366.44,1,1,1,84976.2,0
551,"France","Male",36,7,0,2,1,1,190194.95,0
687,"France","Female",26,7,0,2,1,0,182591.34,0
597,"France","Female",25,2,0,2,1,0,185855.14,0
850,"France","Male",36,9,89696.84,1,1,1,126792.69,0
449,"Germany","Female",28,8,139994.55,2,1,1,132873.56,0
633,"France","Male",45,1,0,3,1,0,141152.08,1
599,"Spain","Male",44,8,0,2,1,0,177619.44,0
583,"Spain","Male",45,9,0,3,0,1,198182.84,0
683,"Germany","Male",34,4,112290.22,1,1,0,2465.8,0
595,"France","Female",32,7,67495.04,2,0,1,77330.35,0
564,"France","Male",33,3,0,2,1,0,152054.94,0
743,"France","Male",36,7,0,2,1,1,116547.03,0
825,"France","Male",30,5,0,2,0,1,9751.03,0
531,"France","Female",53,4,0,1,0,0,77203.72,1
676,"France","Male",38,1,116320.88,1,1,1,130529.13,0
579,"Germany","Female",52,7,123906.94,1,1,0,83700.96,1
745,"France","Male",34,9,121063.9,1,1,0,145560.98,0
774,"France","Female",42,3,137781.65,1,1,0,199316.19,0
742,"France","Female",39,4,0,1,0,1,180066.59,0
638,"France","Female",56,4,0,1,1,0,189414.74,1
721,"France","Female",38,3,140720.93,1,1,1,62370.67,0
628,"Spain","Female",49,8,152926.85,1,1,0,54865.84,1
741,"France","Female",40,1,0,1,1,0,131886.46,0
680,"France","Male",36,7,0,1,1,1,109895.16,1
562,"France","Male",29,8,0,2,1,1,25858.68,0
520,"Germany","Male",32,6,121016.23,1,1,0,83335.78,0
683,"Spain","Male",30,8,0,2,1,0,1557.82,0
689,"France","Male",37,0,0,3,0,1,72778.22,0
521,"France","Female",34,7,0,2,1,1,48505.1,0
646,"France","Male",45,3,134498.54,1,1,0,162599.51,1
731,"France","Female",29,8,0,2,0,1,82336.73,0
684,"France","Female",36,1,0,1,1,1,136398.9,0
579,"France","Female",30,2,0,2,1,0,103560.98,0
766,"Germany","Male",32,3,122453.97,2,1,0,54869.54,0
601,"Spain","Female",41,3,0,1,1,0,54342.83,1
667,"France","Female",21,7,0,2,1,1,193009.21,0
667,"France","Male",31,1,122277.87,1,1,1,33823.5,0
728,"France","Male",35,6,0,2,1,0,60905.51,0
651,"Spain","Male",38,3,0,1,1,1,88840.25,0
610,"France","Male",42,3,113939.36,2,0,0,127433.47,0
681,"Spain","Male",32,3,0,1,0,1,101138.85,0
580,"Spain","Female",57,7,136820.99,1,0,1,108528.74,0
609,"France","Female",42,9,0,1,1,0,106.67,1
678,"Spain","Male",34,10,135096.58,1,1,1,133653.38,0
569,"France","Male",33,10,0,2,1,1,117431.1,0
772,"France","Male",28,7,0,2,1,1,91881.29,0
726,"France","Male",36,4,132057.92,2,1,1,34743.98,0
679,"Spain","Male",32,10,0,2,1,0,94888.6,0
562,"Germany","Male",37,4,139822.11,2,1,0,146219.9,0
612,"France","Female",29,5,0,1,1,1,48108.72,0
635,"France","Male",32,6,0,2,1,1,53511.28,0
585,"France","Male",48,3,0,2,1,0,9902.39,0
678,"France","Male",29,6,0,2,0,0,152290.28,0
704,"France","Female",43,3,0,1,1,0,2465.8,0
578,"Germany","Male",45,1,108883.29,1,1,0,27914.95,0
553,"France","Female",26,4,160549.33,1,1,0,157871.97,1
619,"Spain","Male",20,2,135827.33,1,1,0,121102.9,0
646,"France","Male",24,1,0,2,0,0,92612.88,0
755,"France","Female",29,4,116536.43,2,0,1,139494.75,0
599,"Germany","Female",43,8,118079.33,1,1,1,178667.77,0
615,"Spain","Male",31,6,81818.49,1,1,1,169149.38,0
691,"Spain","Male",29,9,0,1,1,0,51987.99,1
667,"France","Female",37,6,127637.65,1,0,0,172576.92,0
696,"France","Male",32,5,0,2,0,0,133686.01,0
545,"France","Female",44,6,136425.18,1,1,1,81102.81,0
615,"France","Male",37,4,0,2,0,0,99347.8,0
599,"France","Female",38,7,0,2,0,1,131736.23,0
595,"Germany","Female",25,0,106570.34,2,0,1,177025.79,0
437,"France","Female",41,10,0,2,1,0,136886.86,0
556,"France","Male",38,1,0,2,1,0,127543.81,0
754,"France","Male",36,7,139070.51,1,1,0,166677.35,0
627,"France","Female",20,1,0,2,1,0,103787.28,1
651,"France","Male",32,3,0,2,1,0,83681.97,0
415,"France","Male",32,5,145807.59,2,1,0,3064.65,0
613,"France","Male",28,4,0,2,1,0,141798.98,0
713,"France","Female",43,1,0,2,1,1,139919.38,0
673,"France","Male",30,1,64097.75,2,1,1,77783.35,0
737,"Germany","Female",33,7,142400.28,3,0,1,110317.73,1
589,"France","Female",40,10,163548.07,1,0,1,114539.67,1
590,"Spain","Male",28,5,0,2,0,1,135655.29,0
615,"Germany","Female",60,8,123378.2,1,1,1,188377.21,1
